,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Description of goods Purchased,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Online,Total
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,579","3,579"
2,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,976","1,976"
3,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,351","1,351"
4,AL MADINA,,12,14,50,,,,,,18,50,,,,,,,19,,3,,110,225,237,50,41,,,,,,,828
5,VIVA SUPERMARKET,,,12,,,,,,22,10,16,,,,,,,,,10,,200,116,182,,,,10,,,,,578
6,ADIL SUPERMARKET,142,46,,,,18,,,,,,,,,,,,,46,,,139,,,,,142,,,,,,534
7,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,395
8,NFPC,34,34,,,,,,,34,,34,,,34,,,,34,,,34,,34,34,,,,,34,,34,,377
9,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350
10,SWADESH,48,11,,11,,34,,11,11,,11,,,,,11,32,,,11,11,11,,11,11,,,45,,,11,,284
11,MODERN KEY TRENDING L.L.C,,137,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,277
12,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200
13,FALCON GLOBAL LLC.,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,139
14,DUBAI REFRESHMENT(P.J.S.C.),,,,,43,,,,,,,,,,,,,,,,,,,,,,43,,27,,,,113
15,JOSHI FHARSAN,,,,,,,,,38,,,,,,,,,,,,,37,,,,37,,,,,,,111
16,ESSA GROCERY,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
17,SHIELD GAS,,,,,,,,,,,,,,3192,,,,,,,,,,,,,,,,,,,"3,192"
18,VEGETABLE,,,,,,,,,705,,,,,636.75,,,,,,,,,,,,,,,,,,,"1,342"
19,Day To Day,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,12
20,Extra Item,,5,,80,,20,,,,,,,,,,,20,,,,39,,,35,,,20,,,,,,219
21,Greas Treap,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,200,,400
22,NAZIMUDDIN BUILDING,,5,,,,,,,14,,,,,,,,,,,,,,,,,,,,,20,,,39
23,MR.COPY,,,,,,,,,,,,,,,,511,,,,,,2,1,,,,,,,,,,514
24,ROYAL SWEET BAKERY,,,,,,,,,,,,,,,,,,,,,,,294,336,,,,,,,,,630
25,WEST ZONE,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,71
26,JASR AL TAWER,,,,,,,,,,,,,,,,,,,,,,,,13,,,21,,,,,,34
27,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Cost of Goods Purchased,224,250,26,141,43,72,-,150,823,33,111,-,-,"4,063",-,522,52,53,46,24,84,638,741,847,61,77,226,67,61,20,245,"7,851","17,548"
,Sub Total,224,250,26,141,43,72,-,150,823,33,111,-,-,"4,063",-,522,52,53,46,24,84,638,741,847,61,77,226,67,61,20,245,"7,851","17,548"
,Closing stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST OF GOODS SOLD - Jan,224,250,26,141,43,72,-,150,823,33,111,-,-,"4,063",-,522,52,53,46,24,84,638,741,847,61,77,226,67,61,20,245,"7,851","17,548"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ADIL SUPERMARKET,,,,,,,,,,,,,210,28,,,,,,,,,,,,,,,,,,,238
2,AL MADINA,60,30,,,,,11,,50,,,,,6,37,,,,,,,,,,,,,,,,,,194
3,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
4,VIVA SUPERMARKET,,,,,12,,,,,,,3,,178,78,,,,,,,,,,,,,,,,,,271
5,ESSA GROCERY,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
6,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
7,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
8,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
9,DUBAI REFRESHMENT(P.J.S.C.),,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,49
10,FALCON GLOBAL LLC.,,,,,27,,,,125,,,,,,,,,,,,,,,,,,,,,,,,152
11,JOSHI FHARSAN,,37,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,110
12,MODERN KEY TRENDING L.L.C,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
13,SWADESH,11,11,27,,,11,11,,,,11,,27,138,16,,,,,,,,,,,,,,,,,,259
14,NFPC,,34,,,,34,34,,,,34,,,68,,34,,,,,,,,,,,,,,,,,240
15,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
16,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
17,SHIELD GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
18,VEGETABLE,,,,,,"1,419",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,419"
19,Day To Day,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,52
20,Extra Item,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
21,MR.COPY,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
22,West Zone,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,16
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
